fichero,hoja,planta,almacen,nombre_cedis,origen,fundamento
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO10,AGUASCALIENTES,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO11,CELAYA HUEVO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO12,IRAPUATO ABASTOS,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO13,IZTAPALAPA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO14,LEÓN 1,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO16,LEÓN ABASTO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO17,MEXICO LEO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO18,MORELIA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO19,PUEBLA 1,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO20,PUEBLA 2,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO21,QUERETARO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO22,SALAMANCA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO23,SALVATIERRA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO24,SAN CRISTOBAL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO25,SAN LUIS,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO26,SAN MIGUEL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO27,SILAO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO29,TOLUCA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO30,MEXICO OROL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO31,TUXTLA 1,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO32,TUXTLA 2,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO33,URUAPAN,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO34,VALLARTA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO35,VERACRUZ,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO36,ZACATECAS,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO37,GUADALAJARA OROL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO39,GUADALAJARA HUEVO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO40,IRAPUATO 2,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO41,CHIHUAHUA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO44,COMITAN,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,BO43,MEXICO CARLOS,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H701,AGUASCALIENTES,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H717,CELAYA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H708,IRAPUATO 1,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H782,IRAPUATO 2,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H702,LEÓN 1,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H767,LEÓN ABASTO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H715,MORELIA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H728,PUEBLA 1,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H730,PUEBLA 2,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H714,QUERETARO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H711,SALAMANCA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H710,SILAO,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H705,SALVATIERRA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H712,SAN MIGUEL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H707,SAN LUIS,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H721,SAN CRISTOBAL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H718,TUXTLA 1,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H724,TUXTLA 2,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H735,VALLARTA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H704,ZACATECAS,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H719,VERACRUZ,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H776,GUADALAJARA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H716,URUAPAN,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H785,COMITAN,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H709,GUADALAJARA OROL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H770,CDMX OROL,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H783,CHIHUAHUA,cliente,
BO-Almacen-oficinas-grupoclientes-PROAN.xlsx,Hoja2,,H781,CDMX 2,cliente,
