fichero,hoja,set,set_original,material,material_sap,denominacion
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000012141,000000110000012141,TORTILLAS 1 KILO
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000012142,000000110000012142,TORTILLAS SANTA CECILIA 12 PZAS
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000012143,000000110000012143,TORTILLAS JUMBO
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000012144,000000110000012144,TOSTADAS SANTA CECILIA 28 PZAS
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000012145,000000110000012145,TOSTADAS DESHIDRATADAS 25 PZAS
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000012208,000000110000012208,TORTILLAS HARINA 1/2 KILO
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000012790,000000110000012790,TOSTADAS SANTA CECILIA 28 PZAS GRANEL
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000013001,000000110000013001,PAQUETE DE TOSTADAS SANTA CECILIA 20 PZA
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000013135,000000110000013135,TOTOPO DOÑA CECILIA 250 GR
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000013644,000000110000013644,TOSTADAS SANTA CECILIA 35 PIEZAS
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000013910,000000110000013910,TOTOPOS CON GRANOS 250 GRAMOS
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000013912,000000110000013912,TOSTADA DESHIDRATADA GRANOS 25 PZA
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000017587,000000110000017587,TRIGALIA 550 GRS. 17 TORTILLAS
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,A (Abarrotes),SJABARROTES,SJABARROTES,110000021153,000000110000021153,TORTILLAS DE HARINA 30CM
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,CE (Carnicos y Embu),CAREMBCE,CAREMBCE,13010,000000000000013010,
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,CE (Carnicos y Embu),CAREMBCE,CAREMBCE,13011,000000000000013011,
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,CE (Carnicos y Embu),CAREMBCE,CAREMBCE,13018,000000000000013018,
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,CE (Carnicos y Embu),CAREMBCE,CAREMBCE,13620,000000000000013620,
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,CE (Carnicos y Embu),CAREMBCE,CAREMBCE,14000,000000000000014000,
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,CE (Carnicos y Embu),CAREMBCE,CAREMBCE,14704,000000000000014704,
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,CE (Carnicos y Embu),CAREMBCE,CAREMBCE,18094,000000000000018094,
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,IA CROQUETA Alimentos. DBC,CHOP,CHOP,19898,000000000000019898,CHOP ADULTO 24Kg
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,IA CROQUETA Alimentos. DBC,BALU,BALU,110000024242,000000110000024242,BALU ADULTO 1 KG
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,IA CROQUETA Alimentos. DBC,WOOFI,WOOFI,110000024244,000000110000024244,WOOFI 1 KG
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,IA CROQUETA Alimentos. DBC,BALTO,BALTO,110000024245,000000110000024245,BALTO 1 KG
Set de Datos Materiales Desarrollos PROAN-Final (1).xlsx,IA CROQUETA Alimentos. DBC,MIXI,MIXI,110000023305,000000110000023305,MIXI 1.3 kg
